| 1 | 0.15838 | 0.32492 | 0.50953 | 0.72654 | 1.0 | 1.37638 | 1.96261 | 3.07768 | 6.31375 | 12.7062 | 31.82052 | 63.65674 | 636.61925 |  
| 2 | 0.14213 | 0.28868 | 0.44475 | 0.61721 | 0.8165 | 1.06066 | 1.38621 | 1.88562 | 2.91999 | 4.30265 | 6.96456 | 9.92484 | 31.59905 |  
| 3 | 0.1366 | 0.27667 | 0.4242 | 0.58439 | 0.76489 | 0.97847 | 1.24978 | 1.63774 | 2.35336 | 3.18245 | 4.5407 | 5.84091 | 12.92398 |  
| 4 | 0.13383 | 0.27072 | 0.41416 | 0.56865 | 0.7407 | 0.94096 | 1.18957 | 1.53321 | 2.13185 | 2.77645 | 3.74695 | 4.60409 | 8.6103 |  
| 5 | 0.13218 | 0.26718 | 0.40823 | 0.55943 | 0.72669 | 0.91954 | 1.15577 | 1.47588 | 2.01505 | 2.57058 | 3.36493 | 4.03214 | 6.86883 |  
| 6 | 0.13108 | 0.26483 | 0.40431 | 0.55338 | 0.71756 | 0.9057 | 1.13416 | 1.43976 | 1.94318 | 2.44691 | 3.14267 | 3.70743 | 5.95882 |  
| 7 | 0.13029 | 0.26317 | 0.40154 | 0.54911 | 0.71114 | 0.89603 | 1.11916 | 1.41492 | 1.89458 | 2.36462 | 2.99795 | 3.49948 | 5.40788 |  
| 8 | 0.12971 | 0.26192 | 0.39947 | 0.54593 | 0.70639 | 0.88889 | 1.10815 | 1.39682 | 1.85955 | 2.306 | 2.89646 | 3.35539 | 5.04131 |  
| 9 | 0.12925 | 0.26096 | 0.39787 | 0.54348 | 0.70272 | 0.8834 | 1.09972 | 1.38303 | 1.83311 | 2.26216 | 2.82144 | 3.24984 | 4.78091 |  
| 10 | 0.12889 | 0.26018 | 0.39659 | 0.54153 | 0.69981 | 0.87906 | 1.09306 | 1.37218 | 1.81246 | 2.22814 | 2.76377 | 3.16927 | 4.58689 |  
