 | 0.9 | 1.2816 | 1.2873 | 1.293 | 1.2988 | 1.3047 | 1.3106 | 1.3165 | 1.3225 | 1.3285 | 1.3346 |  
 | 0.91 | 1.3408 | 1.3469 | 1.3532 | 1.3595 | 1.3658 | 1.3722 | 1.3787 | 1.3852 | 1.3917 | 1.3984 |  
 | 0.92 | 1.4051 | 1.4118 | 1.4187 | 1.4255 | 1.4325 | 1.4395 | 1.4466 | 1.4538 | 1.4611 | 1.4684 |  
 | 0.93 | 1.4758 | 1.4833 | 1.4909 | 1.4985 | 1.5063 | 1.5141 | 1.522 | 1.5301 | 1.5382 | 1.5464 |  
 | 0.94 | 1.5548 | 1.5632 | 1.5718 | 1.5805 | 1.5893 | 1.5982 | 1.6072 | 1.6164 | 1.6258 | 1.6352 |  
 | 0.95 | 1.6449 | 1.6546 | 1.6646 | 1.6747 | 1.6849 | 1.6954 | 1.706 | 1.7169 | 1.7279 | 1.7392 |  
 | 0.96 | 1.7507 | 1.7624 | 1.7744 | 1.7866 | 1.7991 | 1.8119 | 1.825 | 1.8384 | 1.8522 | 1.8663 |  
 | 0.97 | 1.8808 | 1.8957 | 1.911 | 1.9268 | 1.9431 | 1.96 | 1.9774 | 1.9954 | 2.0141 | 2.0335 |  
 | 0.98 | 2.0537 | 2.0749 | 2.0969 | 2.1201 | 2.1444 | 2.1701 | 2.1973 | 2.2262 | 2.2571 | 2.2904 |  
 | 0.99 | 2.3263 | 2.3656 | 2.4089 | 2.4573 | 2.5121 | 2.5758 | 2.6521 | 2.7478 | 2.8782 | 3.0902 |  
